	code	name	industry	pe	pb	roe	roa
13	002367	康力电梯	运输设备	43.25	1.11	8.69	0.241
16	600279	重庆港九	港口	39.25	0.86	13.21	0.136
37	300432	富临精工	汽车配件	38.98	0.97	9.22	0.549
119	601666	平煤股份	煤炭开采	38.33	0.8	11.5	0.058
69	600133	东湖高新	园区开发	34.23	1.12	24.64	1.048
6	600039	四川路桥	建筑施工	31.45	1.1	8.12	0.451
19	300118	东方日升	半导体	27.15	1.16	8.68	0.164
18	300241	瑞丰光电	半导体	25.56	1.17	10.95	0.257
118	600121	郑州煤电	煤炭开采	23.5	1.14	18.96	0.144
107	002567	唐人神	饲料	23.08	1.18	9.03	0.161
55	000719	中原传媒	出版业	22.49	0.96	9.64	0.485
36	002454	松芝股份	汽车配件	21.14	1.05	11.73	0.381
38	600210	紫江企业	广告包装	19.14	1.12	13.01	0.175
5	600502	安徽水利	建筑施工	17.66	0.96	10.07	0.268
126	002394	联发股份	纺织	17.56	1.02	11.81	0.267
31	601588	北辰实业	区域地产	17.38	0.95	9.05	0.492
35	002048	宁波华翔	汽车配件	17.31	0.91	10.21	0.312
121	600291	西水股份	保险	17.23	1.15	19.36	2.649
53	600048	保利地产	全国地产	17.21	1.19	14.6	4.665
52	600748	上实发展	全国地产	16.82	0.88	8.74	9.094
57	000776	广发证券	证券	16.53	1.17	10.12	9.574
30	600052	浙江广厦	区域地产	16.44	1.17	8.16	0.968
117	600758	红阳能源	煤炭开采	16.39	1.01	8.35	0.069
122	000587	金洲慈航	批发业	15.87	0.67	10.84	18.286
130	000685	中山公用	水务	15.53	0.97	8.86	0.658
34	600480	凌云股份	汽车配件	15.49	1.06	8.74	0.139
51	600565	迪马股份	全国地产	15.34	0.93	8.95	4.415
129	600611	大众交通	公共交通	15.27	1.05	9.41	0.457
50	600823	世茂股份	全国地产	15.21	0.69	10.23	1.316
70	000623	吉林敖东	中成药	15.1	0.93	9.17	0.908
124	600483	福能股份	火力发电	14.58	1.15	8.02	0.062
125	002087	新野纺织	纺织	14.37	0.91	8.98	0.103
56	601211	国泰君安	证券	13.93	1.03	8.02	3.651
99	002807	江阴银行	银行	13.76	1.07	8.83	0.839
106	601188	龙江交通	路桥	13.53	1.1	8.79	0.246
49	002146	荣盛发展	全国地产	13.25	1.13	20.94	2.135
4	601390	中国中铁	建筑施工	13.15	1.13	10.34	0.311
3	600820	隧道股份	建筑施工	13.14	1.04	9.49	0.536
29	600466	蓝光发展	区域地产	13.12	1.0	9.39	1.289
33	002283	天润曲轴	汽车配件	12.87	1.09	8.59	0.126
68	600736	苏州高新	园区开发	12.53	1.14	8.18	0.358
98	603323	吴江银行	银行	12.37	1.13	8.73	1.083
67	600064	南京高科	园区开发	12.34	0.87	9.34	2.629
39	600978	宜华生活	家居用品	12.23	1.11	9.43	0.196
9	002092	中泰化学	化工原料	11.72	1.15	13.07	0.091
32	600742	一汽富维	汽车配件	11.68	1.15	10.26	0.343
71	000069	华侨城Ａ	旅游景点	11.67	0.97	16.6	0.617
63	000761	本钢板材	普钢	11.63	0.88	11.17	0.068
2	601669	中国电建	建筑施工	11.49	1.18	9.34	0.079
128	000708	大冶特钢	特种钢	11.44	1.01	9.8	0.163
62	000959	首钢股份	普钢	11.3	0.84	8.36	0.026
120	601828	美凯龙	其他商业	11.26	1.19	10.08	24.282
1	601186	中国铁建	建筑施工	10.92	1.08	10.74	0.345
28	002244	滨江集团	区域地产	10.84	1.02	11.98	7.487
131	000415	渤海金控	多元金融	10.52	0.73	8.31	0.015
116	600123	兰花科创	煤炭开采	10.19	0.83	8.32	0.112
15	601000	唐山港	港口	10.17	1.02	10.07	0.13
66	002067	景兴纸业	造纸	10.16	1.06	16.55	0.234
11	600153	建发股份	商贸代理	10.15	0.98	14.1	2.465
14	002354	天神娱乐	互联网	10.13	0.77	11.09	34.318
115	000552	靖远煤电	煤炭开采	10.1	1.06	8.03	0.18
114	000983	西山煤电	煤炭开采	10.07	1.17	8.75	0.068
97	600908	无锡银行	银行	10.05	1.12	10.75	1.106
105	600350	山东高速	路桥	9.92	0.74	9.93	0.478
123	000883	湖北能源	火力发电	9.8	1.07	8.51	0.084
48	000402	金 融 街	全国地产	9.67	0.7	10.17	1.166
54	600757	长江传媒	出版业	9.58	1.09	10.07	0.702
61	600019	宝钢股份	普钢	9.49	1.13	11.65	0.123
27	600649	城投控股	区域地产	9.4	0.78	9.21	86.508
12	002247	帝龙文化	软件服务	9.22	1.17	10.86	1.646
76	600628	新世界	百货	9.15	1.04	10.32	0.176
47	600383	金地集团	全国地产	8.9	0.94	16.78	6.182
60	600022	山东钢铁	普钢	8.9	1.18	10.64	0.15
46	600665	天地源	全国地产	8.77	0.97	8.34	1.857
