amount	amplitude	avg_price	chg	code	currency	current	current_year_percent	dividend	dividend_yield	eps	exchange	float_market_capital	float_shares	hasexist	high	high52w	issue_date	last_close	limit_down	limit_up	lock_set	lot_size	low	low52w	market_capital	name	navps	open	pankou_ratio	pb	pe_forecast	pe_lyr	pe_ttm	percent	profit	profit_forecast	profit_four	status	sub_type	symbol	tick_size	time	timestamp	total_shares	turnover_rate	type	volume	volume_ratio
10977697	23.89	4.516	1.38	601860	CNY	4.52	43.95				SH	1654721778	366088889	False	4.52	4.52	1546444800000	3.14	2.01	4.52		100	3.77	3.77	16547217778	N紫银	3.24	3.77	100.0	1.395	12.568	14.545	13.282	43.95	1137667843.87	1316626541	1245868924.61	1	ASH	SH601860	0.01	1546498800000	1546498800000	3660888889	0.66	11	2431100	
256292723	3.01	3.723	0.10	601818	CNY	3.75	1.35		4.892	0.63	SH	149289484230	39810529128	False	3.76	4.8086	1282060800000	3.65	3.29	4.02		100	3.65	3.3137	196834742355	光大银行	5.42	3.67	-24.32	0.692	5.318	6.24	5.811	2.74	31545000000.0	37013333333	33872000000.0	1	ASH	SH601818	0.01	1546498800000	1546498800000	52489264628	0.17	11	68840871	1.29
370509111	2.12	5.741	0.11	601328	CNY	5.78	-0.17		4.94	0.95	SH	226869994007	39250864015	False	5.78	7.0959	1179158400000	5.67	5.1	6.24		100	5.66	5.3053	429238560008	交通银行	8.38	5.67	-38.19	0.69	5.618	6.113	5.871	1.94	70223000000.0	76405333333	73108000000.0	1	ASH	SH601328	0.01	1546498800000	1546498800000	74262726645	0.16	11	64537499	0.89
74406425	3.83	6.133	0.11	603323	CNY	6.12	0.16		2.455	0.56	SH	3714399060	606927951	False	6.23	10.2097	1480348800000	6.01	5.41	6.61		100	6.0	5.56	8862276075	吴江银行	6.16	6.01	-30.5	0.994	9.244	12.122	10.657	1.83	731115000.0	958738667	831614000.0	1	ASH	SH603323	0.01	1546498800000	1546498800000	1448084326	2.0	11	12132016	0.97
138201446	2.09	11.123	0.16	601229	CNY	11.17	-0.18		3.19	1.78	SH	58034599927	5195577433	False	11.2	12.45	1479225600000	11.01	9.91	12.11		100	10.97	9.9323	122066865830	上海银行	12.62	10.98	-71.83	0.885	6.413	7.963	6.801	1.45	15328499000.0	19035257333	17947368000.0	1	ASH	SH601229	0.01	1546498800000	1546498800000	10928099000	0.24	11	12425016	0.67
36372528	3.07	5.308	0.07	600908	CNY	5.29	0.95		2.863	0.59	SH	4317654088	816191699	False	5.37	9.2846	1474560000000	5.22	4.7	5.74		100	5.21	4.82	9776960215	无锡银行	5.38	5.21	-11.89	0.983	8.503	9.827	9.003	1.34	994948000.0	1149805333	1086020000.0	1	ASH	SH600908	0.01	1546498800000	1546498800000	1848196638	0.84	11	6852359	1.87
929035565	2.73	24.833	0.31	600036	CNY	24.88	-1.27		3.333	3.1	SH	513248137394	20628944429	False	25.05	34.234	1018281600000	24.57	22.11	27.03		100	24.38	23.9202	627469758553	招商银行	19.49	24.4	-83.44	1.277	6.984	8.945	7.97	1.26	70150000000.0	89840000000	78725000000.0	1	ASH	SH600036	0.01	1546498800000	1546498800000	25219845601	0.18	11	37410758	0.62
181975985	1.65	9.755	0.11	600000	CNY	9.81	0.1		1.02	1.84	SH	275697923849	28103763899	False	9.82	13.8532	942163200000	9.7	8.73	10.67		100	9.66	9.0738	287943908695	浦发银行	14.49	9.7	-60.17	0.677	5.15	5.15	5.15	1.13	55914000000.0	55914000000	55914000000.0	1	ASH	SH600000	0.01	1546498800000	1546498800000	29352080397	0.07	11	18654262	0.7
159016402	1.44	5.568	0.05	601169	CNY	5.60	-0.18		4.759	0.93	SH	102188860603	18248010822	False	5.6	7.5519	1190131200000	5.55	5.0	6.11		100	5.52	5.49	118400711923	北京银行	8.02	5.53	-41.85	0.698	5.341	6.32	5.967	0.9	18733000000.0	22169333333	19844000000.0	1	ASH	SH601169	0.01	1546498800000	1546498800000	21142984272	0.16	11	28559214	0.79
397285908	1.22	14.838	0.11	601166	CNY	14.85	-0.6		4.351	2.84	SH	282927200752	19052336751	False	14.92	19.1636	1170604800000	14.74	13.27	16.21		100	14.74	13.73	308496732652	兴业银行	20.63	14.74	-42.16	0.72	4.572	5.393	5.086	0.75	57200000000.0	67468000000	60652000000.0	1	ASH	SH601166	0.01	1546498800000	1546498800000	20774190751	0.14	11	26775670	0.71
64478379	1.22	7.404	0.05	600926	CNY	7.41	0.14		2.892	1.1	SH	15425013910	2081648301	False	7.44	9.2836	1477497600000	7.36	6.62	8.1		100	7.35	7.28	38014785201	杭州银行	8.94	7.38	-62.1	0.829	6.462	8.354	7.177	0.68	4550365000.0	5883228000	5297047000.0	1	ASH	SH600926	0.01	1546498800000	1546498800000	5130200432	0.42	11	8708732	1.12
87996066	2.33	6.08	0.04	601128	CNY	6.04	-1.63		2.932	0.67	SH	6264755503	1037211176	False	6.15	8.7075	1475164800000	6.0	5.4	6.6		100	6.01	5.42	13667010852	常熟银行	5.46	6.03	35.69	1.106	9.152	10.81	9.169	0.67	1264295000.0	1493264000	1490602000.0	1	ASH	SH601128	0.01	1546498800000	1546498800000	2262750141	1.4	11	14473250	1.12
153109331	1.41	6.402	0.04	601009	CNY	6.41	-0.77		5.341	1.22	SH	54370952793	8482207924	False	6.45	9.958	1184774400000	6.37	5.73	7.01		100	6.36	6.36	54370952793	南京银行	7.64	6.37	-13.96	0.839	4.756	5.624	5.03	0.63	9668173000.0	11432252000	10809266000.0	1	ASH	SH601009	0.01	1546498800000	1546498800000	8482207924	0.28	11	23915735	0.81
518947481	1.42	3.529	0.02	601288	CNY	3.54	-1.67		4.583	0.61	SH	1040955740420	294055293904	False	3.55	4.5931	1279123200000	3.52	3.17	3.87		100	3.5	3.25	1238939939910	农业银行	4.43	3.51	9.38	0.799	5.415	6.421	6.057	0.57	192962000000.0	228814666667	204563000000.0	1	ASH	SH601288	0.01	1546498800000	1546498800000	349983033873	0.05	11	147048862	0.61
88623562	1.5	7.34	0.04	600015	CNY	7.35	-0.54		2.043	1.51	SH	94246746900	12822686653	False	7.4	10.2107	1063296000000	7.31	6.58	8.04		100	7.29	7.1	94246746900	华夏银行	12.55	7.32	-9.48	0.586	4.87	4.755	4.688	0.55	19819000000.0	19350666667	20105000000.0	1	ASH	SH600015	0.01	1546498800000	1546498800000	12822686653	0.09	11	12073544	0.74
90254369	1.18	5.96	0.03	600919	CNY	5.97	0.0		3.015	1.12	SH	35869111566	6008226393	False	5.99	8.1649	1470067200000	5.94	5.35	6.53		100	5.92	5.87	68920366500	江苏银行	8.63	5.92	-20.56	0.692	5.039	5.804	5.323	0.51	11874997000.0	13676736000	12946793000.0	1	ASH	SH600919	0.01	1546498800000	1546498800000	11544450000	0.25	11	15142762	0.47
51888328	2.02	8.012	0.04	601838	CNY	7.97	-0.99		3.478	1.29	SH	2878964318	361225134	False	8.09	16.1825	1517328000000	7.93	7.14	8.72		100	7.93	7.91	28789643132	成都银行	8.28	7.94	5.23	0.963	6.359	7.366	6.406	0.5	3908578000.0	4527726667	4494395000.0	1	ASH	SH601838	0.01	1546498800000	1546498800000	3612251334	1.79	11	6476599	1.02
96816910	2.49	8.534	0.04	601577	CNY	8.48	-0.47				SH	2901477588	342155376	False	8.64	12.66	1537891200000	8.44	7.6	9.28		100	8.43	8.39	29014775834	长沙银行	8.74	8.47	22.14	0.97	5.835	7.382	6.787	0.47	3930713000.0	4972244000	4275285000.0	1	ASH	SH601577	0.01	1546498800000	1546498800000	3421553754	3.32	11	11344842	1.11
