id	name	ping_1	ping_2	ping_3	ping_4	ping_5	ping_6	ping_7	ping_8	zhang_1	zhang_2	StructuredFund
150284	申万菱信申万医药生物分级B行情吧档案			0.3771	---	0.3432	---	0.3990	-5.81%	0.0339	9.88%	True
502025	鹏华钢铁分级B行情吧档案			0.5250	0.5250	0.4850	0.4850	0.7680	-46.29%	0.0400	8.25%	True
150149	信诚中证800医药指数分级B行情吧档案			0.3990	1.4290	0.3700	1.4000	0.3980	0.25%	0.0290	7.84%	True
150050	南方消费进取行情吧档案			0.3780	1.4970	0.3520	1.3940	0.4020	-6.35%	0.0260	7.39%	True
150258	易方达生物分级B行情吧档案			0.5499	---	0.5170	---	0.5540	-0.75%	0.0329	6.36%	True
150093	诺德深证300指数分级B行情吧档案			0.3460	1.6770	0.3260	1.6570	0.3890	-12.43%	0.0200	6.14%	True
150262	华宝中证医疗指数分级B行情吧档案			0.5079	0.0192	0.4791	0.0181	0.5050	0.57%	0.0288	6.01%	True
150282	长盛中证金融地产指数分级B行情吧档案			0.3930	---	0.3710	---	0.4600	-17.05%	0.0220	5.93%	True
150124	建信央视50B行情吧档案			0.4772	---	0.4514	---	0.4630	2.98%	0.0258	5.72%	True
150146	招商沪深300高贝塔分级B行情吧档案			0.4592	1.1039	0.4344	1.0978	0.5000	-8.89%	0.0248	5.71%	True
150288	中融国证钢铁行业指数分级B行情吧档案			0.8600	0.0310	0.8140	0.0300	0.8560	0.47%	0.0460	5.65%	True
150270	招商中证白酒指数分级B行情吧档案			0.8273	1.7806	0.7832	1.7365	0.8610	-4.07%	0.0441	5.63%	True
150220	前海开源健康分级B行情吧档案			0.4130	0.4130	0.3910	0.3910	0.3900	5.57%	0.0220	5.63%	True
150052	信诚沪深300指数分级B行情吧档案			0.4620	1.4110	0.4380	1.4050	0.4860	-5.19%	0.0240	5.48%	True
150131	国泰国证医药卫生指数分级B行情吧档案			1.0134	1.3453	0.9616	1.2935	1.0110	0.24%	0.0518	5.39%	True
150168	银华沪深300指数分级B行情吧档案			0.5010	---	0.4760	---	0.5360	-6.99%	0.0250	5.25%	True
502050	易方达上证50指数分级B行情吧档案			0.5896	---	0.5603	---	0.6140	-4.14%	0.0293	5.23%	True
150019	银华锐进行情吧档案			0.4860	0.4860	0.4620	0.4620	0.5090	-4.73%	0.0240	5.19%	True
150151	信诚中证800有色指数分级B行情吧档案			0.5470	1.1010	0.5200	1.0950	0.5740	-4.94%	0.0270	5.19%	True
150107	易方达中小板指数分级B行情吧档案			0.4187	---	0.3981	---	0.4050	3.27%	0.0206	5.17%	True
150197	国泰国证有色金属行业分级B行情吧档案			0.3940	0.1201	0.3747	0.1142	0.4080	-3.55%	0.0193	5.15%	True
150300	华安中证银行指数分级B行情吧档案			0.5367	0.5367	0.5110	0.5110	0.5380	-0.24%	0.0257	5.03%	True
502058	广发医疗指数分级B行情吧档案			0.6736	0.1925	0.6415	0.1833	0.6800	-0.95%	0.0321	5.00%	True
150292	中融中证银行指数分级B行情吧档案			0.5690	0.5690	0.5430	0.5430	0.5700	-0.18%	0.0260	4.79%	True
150210	富国中证国企改革指数分级B 行情吧档案			0.4440	1.2710	0.4240	1.2660	0.4680	-5.41%	0.0200	4.72%	True
502022	国金上证50分级B行情吧档案			0.6630	---	0.6340	---	1.1540	-74.06%	0.0290	4.57%	True
150139	银华800B行情吧档案			0.3530	---	0.3380	---	0.4610	-30.59%	0.0150	4.44%	True
150228	鹏华银行分级B行情吧档案			0.6760	0.6760	0.6480	0.6480	0.7060	-4.44%	0.0280	4.32%	True
150256	易方达银行分级B行情吧档案			0.7089	---	0.6798	---	0.8190	-15.53%	0.0291	4.28%	True
150304	华安创业板50指数分级B行情吧档案			0.6515	0.0062	0.6248	0.0060	0.6550	-0.54%	0.0267	4.27%	True
150084	广发深证100指数分级B行情吧档案			0.7055	0.7055	0.6767	0.6767	0.8900	-26.15%	0.0288	4.26%	True
150136	国富中证100指数增强分级B行情吧档案			0.6860	0.6860	0.6580	0.6580	0.6660	2.92%	0.0280	4.26%	True
150232	申万菱信申万电子分级B行情吧档案			0.4216	---	0.4047	---	0.4810	-14.09%	0.0169	4.18%	True
150272	招商国证生物医药指数分级B行情吧档案			0.6197	0.1635	0.5950	0.1570	0.6540	-5.53%	0.0247	4.15%	True
150330	方正富邦保险主题指数分级B行情吧档案			1.0890	1.0890	1.0470	1.0470	1.1250	-3.31%	0.0420	4.01%	True
150260	易方达重组分级B行情吧档案			0.6043	---	0.5812	---	0.6530	-8.06%	0.0231	3.97%	True
150268	博时中证银行指数分级B行情吧档案			0.8031	0.8031	0.7726	0.7726	0.8500	-5.84%	0.0305	3.95%	True
150296	南方中证国有企业改革分级B行情吧档案			0.5557	---	0.5346	---	0.5860	-5.45%	0.0211	3.95%	True
150216	国泰深证TMT50指数分级B行情吧档案			0.4484	0.1352	0.4314	0.1301	0.4350	2.99%	0.0170	3.94%	True
150230	鹏华酒分级B行情吧档案			1.2160	1.2880	1.1700	1.2740	1.2650	-4.03%	0.0460	3.93%	True
150250	招商中证银行指数分级B行情吧档案			0.8141	0.8141	0.7834	0.7834	0.8700	-6.87%	0.0307	3.92%	True
150242	富国中证银行指数分级B行情吧档案			0.8540	0.8540	0.8220	0.8220	0.8750	-2.46%	0.0320	3.89%	True
150075	诺安进取行情吧档案			0.3240	1.7690	0.3120	1.7670	0.3750	-15.74%	0.0120	3.85%	True
150158	信诚中证800金融指数分级B行情吧档案			0.7410	1.8890	0.7140	1.8620	0.7600	-2.56%	0.0270	3.78%	True
150065	长盛同瑞200分级B行情吧档案			0.5620	1.8570	0.5420	1.8550	0.6980	-24.20%	0.0200	3.69%	True
150199	国泰国证食品饮料行业指数B行情吧档案			1.2074	2.3163	1.1651	2.2740	1.1780	2.43%	0.0423	3.63%	True
150328	工银中证新能源指数分级B行情吧档案			0.4968	0.1380	0.4797	0.1332	0.4910	1.17%	0.0171	3.56%	True
502042	长盛上证50指数分级B行情吧档案			0.9910	---	0.9570	---	1.0900	-9.99%	0.0340	3.55%	True
150206	鹏华中证国防指数分级B行情吧档案			0.3500	1.1590	0.3380	1.1580	0.3840	-9.71%	0.0120	3.55%	True
502008	易方达国企改革指数分级B行情吧档案			0.6695	---	0.6466	---	0.6710	-0.22%	0.0229	3.54%	True
150031	银华中证等权90鑫利行情吧档案			0.6700	0.5530	0.6480	0.5520	0.7350	-9.70%	0.0220	3.40%	True
150101	鹏华资源分级B行情吧档案			0.8000	0.1970	0.7740	0.1910	0.7990	0.13%	0.0260	3.36%	True
150244	鹏华创业板分级B行情吧档案			0.7440	0.0450	0.7200	0.0440	0.7780	-4.57%	0.0240	3.33%	True
150226	博时中证800证券保险分级B行情吧档案			0.8847	0.2150	0.8568	0.2082	0.8960	-1.28%	0.0279	3.26%	True
150153	富国创业板指数分级B行情吧档案			0.7020	2.2110	0.6800	2.2110	0.7300	-3.99%	0.0220	3.24%	True
150105	华安沪深300指数分级B行情吧档案			1.2301	1.2301	1.1921	1.1921	1.2020	2.28%	0.0380	3.19%	True
502002	西部利得中证500等权重分级B行情吧档案			0.5056	0.0819	0.4903	0.0794	0.4290	15.15%	0.0153	3.12%	True
150306	国寿安保中证养老产业分级B行情吧档案			0.8120	0.1940	0.7880	0.1880	0.8190	-0.86%	0.0240	3.05%	True
150178	鹏华证券保险分级B行情吧档案			0.9480	2.1720	0.9200	2.1700	0.9760	-2.95%	0.0280	3.04%	True
502012	易方达证券公司分级B行情吧档案			0.7104	---	0.6898	---	0.7450	-4.87%	0.0206	2.99%	True
150193	鹏华地产分级B行情吧档案			0.7640	2.2370	0.7420	2.2310	0.7390	3.27%	0.0220	2.97%	True
150013	国联安双禧中证100B行情吧档案			1.1230	1.0050	1.0910	0.9830	1.1450	-1.96%	0.0320	2.93%	True
502015	长盛中证申万一带一路分级B行情吧档案			1.0650	---	1.0350	---	1.0760	-1.03%	0.0300	2.90%	True
150201	招商中证全指证券公司分级B行情吧档案			0.7589	0.1258	0.7378	0.1254	0.7970	-5.02%	0.0211	2.86%	True
150180	鹏华信息分级B行情吧档案			0.6500	2.0900	0.6320	2.0880	0.6700	-3.08%	0.0180	2.85%	True
512010	易方达沪深300医药ETF行情吧档案			1.3620	1.3620	1.3246	1.3246	1.3660	-0.29%	0.0374	2.82%	True
150290	中融中证煤炭指数分级B行情吧档案			0.7290	0.1810	0.7090	0.1760	0.7250	0.55%	0.0200	2.82%	True
150214	国投瑞银中证创业指数分级B行情吧档案			0.9130	0.0430	0.8880	0.0420	0.9550	-4.60%	0.0250	2.82%	True
150316	富国中证工业4.0指数分级B行情吧档案			0.8420	0.0330	0.8190	0.0320	0.8710	-3.44%	0.0230	2.81%	True
150060	银华鑫瑞行情吧档案			0.7350	0.1790	0.7150	0.1740	0.7400	-0.68%	0.0200	2.80%	True
150054	泰达进取行情吧档案			0.5912	2.2798	0.5753	2.2639	0.6550	-10.79%	0.0159	2.76%	True
150176	银华恒生国企指数分级B行情吧档案			0.8849	---	0.8614	---	0.9100	-2.84%	0.0235	2.73%	True
512120	华安中证细分医药ETF行情吧档案			1.2060	1.2060	1.1740	1.1740	1.2030	0.25%	0.0320	2.73%	True
150322	富国中证煤炭指数分级B行情吧档案			0.6820	0.1150	0.6640	0.1120	0.6450	5.43%	0.0180	2.71%	True
150336	融通军工分级B行情吧档案			0.4610	0.1210	0.4490	0.1180	0.4900	-6.29%	0.0120	2.67%	True
150118	国泰国证房地产行业指数分级B行情吧档案			0.7994	2.0918	0.7787	2.0711	0.8000	-0.08%	0.0207	2.66%	True
