code	name	industry	pe	pb	fixedAssets
002102	ST冠福	化学制药	8.29	0.78	93103.61
300194	福安药业	化学制药	11.26	0.92	94978.86
002872	天圣制药	化学制药	12.63	0.85	125711.92
002435	长江润发	化学制药	13.06	0.93	100063.05
002004	华邦健康	化学制药	14.9	1.0	436935.34
000665	湖北广电	影视音像	11.83	0.71	519196.16
600831	广电网络	影视音像	12.74	0.94	389400.22
600037	歌华有线	影视音像	16.19	0.93	376760.88
601599	鹿港文化	影视音像	17.99	0.95	99359.38
601929	吉视传媒	影视音像	22.8	0.91	422425.25
600986	科达股份	互联网	7.58	0.92	3197.17
002619	艾格拉斯	互联网	11.02	0.96	271.82
002354	天神娱乐	互联网	11.79	0.53	3074.3
002425	凯撒文化	互联网	15.45	1.0	3313.2
300343	联创互联	互联网	20.9	0.93	14811.69
300242	佳云科技	互联网	23.53	0.99	819.47
000415	渤海金控	多元金融	9.21	0.72	17561616.0
600390	五矿资本	多元金融	11.49	0.83	4558.2
002092	中泰化学	化工原料	5.89	0.85	2619744.5
600075	新疆天业	化工原料	10.05	1.0	529365.13
000635	英 力 特	化工原料	15.53	0.87	181049.63
000990	诚志股份	化工原料	18.9	1.0	412788.66
002386	天原集团	化工原料	19.8	0.84	515899.81
002666	德联集团	化工原料	22.06	0.91	53749.6
000698	沈阳化工	化工原料	23.09	0.7	468408.94
603001	奥康国际	服饰	11.92	0.99	47593.01
002029	七 匹 狼	服饰	17.07	0.83	35166.35
002574	明牌珠宝	服饰	22.22	0.79	21040.67
600525	长园集团	电气设备	3.43	0.9	197789.86
600089	特变电工	电气设备	8.89	0.89	2328587.25
601908	京运通	电气设备	9.2	0.9	826055.31
002169	智光电气	电气设备	16.41	0.97	100558.31
300040	九洲电气	电气设备	16.46	0.86	114049.3
600875	东方电气	电气设备	20.58	0.77	628689.38
600983	惠而浦	家用电器	6.93	0.97	142516.27
600854	春兰股份	家用电器	8.02	0.88	27146.2
600060	海信电器	家用电器	16.51	0.81	113943.22
002429	兆驰股份	家用电器	17.16	0.97	115122.6
000825	太钢不锈	特种钢	4.85	0.97	4791381.0
000708	大冶特钢	特种钢	8.09	1.0	233406.66
300269	联建光电	半导体	11.53	0.72	69585.0
300118	东方日升	半导体	19.51	0.64	404849.25
002638	勤上股份	半导体	23.25	0.74	25462.05
600603	广汇物流	仓储物流	14.19	0.9	6414.75
601677	明泰铝业	铝	9.86	0.88	198908.22
600219	南山铝业	铝	14.93	0.74	2529312.5
600837	海通证券	证券	16.7	0.87	278421.38
600061	国投资本	证券	19.52	0.89	27840.47
601788	光大证券	证券	22.2	0.89	79572.97
601377	兴业证券	证券	23.17	0.96	52751.16
000686	东北证券	证券	27.4	0.89	67765.11
000544	中原环保	环境保护	12.77	0.83	290129.09
002101	广东鸿图	机械基件	10.75	0.85	201980.22
002026	山东威达	机械基件	12.69	0.86	67495.09
000903	云内动力	机械基件	13.06	0.83	263753.47
000530	大冷股份	机械基件	22.61	0.8	87047.35
002400	省广集团	广告包装	17.91	0.86	70586.55
600694	大商股份	百货	6.02	0.96	495426.91
000501	鄂武商Ａ	百货	6.54	0.97	668965.25
000882	华联股份	百货	10.19	0.75	6334.96
600628	新世界	百货	10.56	0.91	252044.97
000417	合肥百货	百货	10.67	0.94	169785.06
002277	友阿股份	百货	11.18	0.89	289207.22
002187	广百股份	百货	12.39	0.99	106229.42
600858	银座股份	百货	17.91	0.83	376926.09
000564	供销大集	百货	18.13	0.5	458133.59
603123	翠微股份	百货	19.52	0.97	188920.94
002441	众业达	批发业	13.22	0.91	42741.21
002682	龙洲股份	公路	17.51	0.92	139806.44
002255	海陆重工	专用机械	17.62	0.87	65859.15
300569	天能重工	专用机械	27.36	0.99	55685.06
002247	聚力文化	软件服务	6.57	0.77	33693.76
002298	中电兴发	软件服务	23.83	0.92	58070.41
600335	国机汽车	汽车配件	8.24	0.81	156649.77
600742	一汽富维	汽车配件	8.45	0.95	133590.17
601058	赛轮金宇	汽车配件	9.08	0.94	600888.81
002048	宁波华翔	汽车配件	9.95	0.75	271043.22
600480	凌云股份	汽车配件	10.18	0.91	259358.42
002283	天润曲轴	汽车配件	11.87	0.92	262556.16
000980	众泰汽车	汽车配件	14.55	0.52	338981.13
002328	新朋股份	汽车配件	18.72	0.86	117196.36
002363	隆基机械	汽车配件	18.85	0.85	99858.03
300432	富临精工	汽车配件	20.32	0.87	71000.61
601163	三角轮胎	汽车配件	22.08	0.98	402422.78
600960	渤海汽车	汽车配件	24.77	0.84	157483.72
000599	青岛双星	汽车配件	28.41	0.86	262561.22
002454	松芝股份	汽车配件	28.79	0.8	102637.61
601222	林洋能源	电器仪表	9.19	0.8	887521.88
601669	中国电建	建筑施工	9.31	1.0	9308608.0
600820	隧道股份	建筑施工	10.37	0.89	324169.88
600502	安徽水利	建筑施工	10.47	0.94	294531.69
600039	四川路桥	建筑施工	12.76	0.91	233374.55
601117	中国化学	建筑施工	13.1	0.98	835172.13
600284	浦东建设	建筑施工	14.32	0.84	13010.37
002663	普邦股份	建筑施工	22.35	0.86	38557.78
000157	中联重科	工程机械	14.92	0.7	559167.31
002535	林州重机	工程机械	19.52	0.86	191300.34
000039	中集集团	轻工机械	15.95	1.0	2283607.5
300195	长荣股份	轻工机械	19.2	0.93	64644.85
300282	三盛教育	文教休闲	19.15	0.95	8357.5
600589	广东榕泰	塑料	16.29	0.9	96025.25
002585	双星新材	塑料	18.89	0.86	228920.27
002620	瑞和股份	装修装饰	11.23	0.98	87358.18
002375	亚厦股份	装修装饰	16.29	0.86	80463.18
002680	ST长生	生物制药	5.05	0.79	44108.5
002086	东方海洋	渔业	20.17	0.89	135929.75
000601	韶能股份	水力发电	9.32	0.86	709594.13
600979	广安爱众	水力发电	14.14	0.96	498433.09
000791	甘肃电投	水力发电	17.51	0.76	1472051.25
600101	明星电力	水力发电	19.4	0.99	186578.84
600969	郴电国际	水力发电	22.44	0.59	500709.59
000722	湖南发展	水力发电	22.5	0.83	158690.67
000623	吉林敖东	中成药	14.22	0.85	211102.8
300158	振东制药	中成药	21.49	0.71	100516.74
002433	太安堂	中成药	25.33	0.7	188974.09
601992	金隅集团	水泥	7.15	0.81	4552120.0
600720	祁连山	水泥	11.32	0.9	587583.56
000877	天山股份	水泥	11.92	0.98	1202505.0
600449	宁夏建材	水泥	12.49	0.78	423705.41
600425	青松建化	水泥	28.45	0.92	543137.44
600022	山东钢铁	普钢	5.35	0.91	2588074.0
000898	鞍钢股份	普钢	6.07	0.82	4648900.0
600126	杭钢股份	普钢	6.5	0.85	935463.88
000959	首钢股份	普钢	7.32	0.8	8208854.5
600019	宝钢股份	普钢	8.25	1.0	15307725.0
000709	河钢股份	普钢	9.06	0.71	11091880.0
000761	本钢板材	普钢	9.8	0.79	2273971.0
601005	重庆钢铁	普钢	10.48	0.91	1723946.25
000655	*ST金岭	普钢	22.29	0.78	29767.73
000926	福星股份	区域地产	5.08	0.57	125647.01
600376	首开股份	区域地产	6.03	0.78	82071.1
601588	北辰实业	区域地产	6.52	0.64	229298.27
600622	光大嘉宝	区域地产	8.63	0.99	20489.92
000965	天保基建	区域地产	8.78	0.78	10226.99
000732	泰禾集团	区域地产	8.92	0.88	245467.72
600649	城投控股	区域地产	8.97	0.68	1968.95
002244	滨江集团	区域地产	9.89	0.79	22640.77
600052	浙江广厦	区域地产	11.46	0.98	19306.4
600322	天房发展	区域地产	15.13	0.94	9048.12
600266	北京城建	区域地产	15.37	0.6	19203.65
600094	大名城	区域地产	17.4	0.78	63833.76
600533	栖霞建设	区域地产	22.14	0.81	2873.2
000608	阳光股份	区域地产	24.94	0.97	1085.1
600676	交运股份	公共交通	11.52	0.79	246015.34
600561	江西长运	公共交通	19.0	0.87	237107.59
600811	东方集团	综合类	13.82	0.71	83342.49
600051	宁波联合	综合类	16.95	0.71	65984.75
600277	亿利洁能	综合类	19.52	0.86	772586.44
600805	悦达投资	综合类	19.91	0.63	113641.97
000701	厦门信达	综合类	19.93	0.75	162395.67
600978	宜华生活	家居用品	7.63	0.7	381537.97
603385	惠达卫浴	家居用品	12.65	0.99	103140.25
002087	新野纺织	纺织	8.07	0.85	289339.38
000850	华茂股份	纺织	10.85	0.69	204418.81
601339	百隆东方	纺织	11.43	1.0	314190.97
002144	宏达高科	纺织	15.01	0.98	28480.96
002674	兴业科技	纺织	29.53	0.89	53162.88
600755	厦门国贸	商贸代理	5.06	0.98	158615.17
600153	建发股份	商贸代理	8.81	0.84	140335.38
600382	广东明珠	商贸代理	9.62	0.67	5232.0
600739	辽宁成大	商贸代理	17.94	0.81	312512.22
002496	ST辉丰	农药化肥	13.83	0.71	242328.09
002538	司尔特	农药化肥	14.73	0.91	133230.56
000488	晨鸣纸业	造纸	4.34	0.94	2782288.75
600966	博汇纸业	造纸	5.44	0.83	538840.5
600308	华泰股份	造纸	6.58	0.67	693411.94
002067	景兴纸业	造纸	7.05	0.86	268100.41
600963	岳阳林纸	造纸	9.67	0.71	448516.41
600356	恒丰纸业	造纸	26.27	0.78	92239.93
600240	华业资本	全国地产	2.28	0.57	19759.42
600708	光明地产	全国地产	4.39	0.67	58991.96
600393	粤泰股份	全国地产	4.5	0.84	20830.24
002133	广宇集团	全国地产	4.86	0.82	1766.99
600823	世茂股份	全国地产	4.98	0.62	169231.72
600665	天地源	全国地产	6.15	0.86	13575.25
600684	珠江实业	全国地产	6.6	1.0	83779.71
600383	金地集团	全国地产	7.68	0.91	109203.47
600208	新湖中宝	全国地产	8.82	0.78	46090.85
000402	金 融 街	全国地产	10.71	0.63	255602.42
000667	美好置业	全国地产	12.12	0.76	30810.49
600515	海航基础	全国地产	12.27	0.63	647542.13
600077	宋都股份	全国地产	14.31	0.87	5696.47
600748	上实发展	全国地产	14.37	0.79	9379.62
600565	迪马股份	全国地产	16.82	0.83	14958.61
600657	信达地产	全国地产	18.6	0.5	27180.61
600067	冠城大通	全国地产	20.06	0.73	143671.16
600586	金晶科技	玻璃	10.11	0.94	445474.66
000050	深天马Ａ	元器件	13.12	0.85	3020416.75
002426	胜利精密	元器件	13.88	0.99	385034.38
000413	东旭光电	元器件	14.49	0.8	1093859.88
600982	宁波热电	供气供热	12.91	0.93	80246.9
000421	南京公用	供气供热	14.36	1.0	289399.06
000625	长安汽车	汽车整车	8.97	0.61	1845658.38
600006	东风汽车	汽车整车	11.36	0.96	158607.77
000550	江铃汽车	汽车整车	13.33	0.8	572301.06
600375	华菱星马	汽车整车	24.41	0.71	289672.63
600418	江淮汽车	汽车整车	25.48	0.6	1305613.13
000778	新兴铸管	钢加工	7.95	0.89	1588575.5
002541	鸿路钢构	钢加工	10.68	0.83	153152.94
600496	精工钢构	钢加工	20.26	0.96	75678.22
002743	富煌钢构	钢加工	21.3	0.91	75737.65
600016	民生银行	银行	4.57	0.7	4469600.0
601166	兴业银行	银行	4.79	0.79	1488300.0
601988	中国银行	银行	4.88	0.75	20978600.0
600015	华夏银行	银行	5.0	0.64	1359100.0
601009	南京银行	银行	5.19	1.0	471434.81
601169	北京银行	银行	5.23	0.76	1326000.0
601328	交通银行	银行	5.25	0.71	13564400.0
600919	江苏银行	银行	5.25	0.75	535725.5
600000	浦发银行	银行	5.37	0.75	3154300.0
601998	中信银行	银行	5.48	0.75	2061000.0
601997	贵阳银行	银行	5.68	0.95	244323.91
601818	光大银行	银行	5.72	0.75	1506800.0
601288	农业银行	银行	5.76	0.9	15064000.0
601939	建设银行	银行	5.92	0.97	16672099.0
601398	工商银行	银行	6.08	0.93	22460400.0
600926	杭州银行	银行	6.56	0.89	131597.3
601229	上海银行	银行	6.82	0.96	432896.41
000001	平安银行	银行	6.96	0.89	853046.69
600908	无锡银行	银行	8.27	1.0	88047.3
603323	吴江银行	银行	8.54	0.99	71034.4
002807	江阴银行	银行	12.22	0.96	74411.7
000059	华锦股份	石油加工	6.46	0.76	1326488.38
002377	国创高新	石油加工	14.46	0.8	13778.1
601258	庞大集团	汽车服务	18.59	0.7	789456.81
600508	上海能源	煤炭开采	6.2	0.79	531857.44
600123	兰花科创	煤炭开采	6.22	0.78	687243.44
600971	恒源煤电	煤炭开采	6.58	0.84	348435.44
600348	阳泉煤业	煤炭开采	7.44	0.84	1784192.38
600997	开滦股份	煤炭开采	8.25	0.99	1008718.81
000552	靖远煤电	煤炭开采	8.74	0.84	302584.56
